case,event,role
1,10,53
1,7,53
1,8,53
1,8,53
1,20,53
1,1,14
1,15,14
1,6,14
1,13,14
1,16,14
1,16,14
1,22,14
1,22,23
1,22,41
1,17,41
1,17,41
1,23,7
1,9,7
1,3,7
1,11,7
1,2,7
2,10,53
2,7,53
2,8,53
2,8,53
2,20,53
2,20,53
2,1,14
2,6,14
2,15,14
2,13,14
2,16,14
2,16,14
2,22,14
2,22,14
2,15,45
2,12,45
2,13,45
2,16,45
2,16,45
2,22,45
2,22,41
2,17,41
2,17,41
2,23,10
2,23,10
2,23,10
2,11,10
2,3,10
2,9,10
2,2,10
3,10,53
3,7,53
3,8,53
3,8,53
3,20,22
3,20,22
3,20,55
3,20,55
3,1,55
3,6,55
3,15,55
3,13,55
3,16,55
3,16,55
3,22,55
3,15,55
3,12,55
3,13,55
3,16,55
3,16,55
3,22,55
3,22,44
3,22,22
3,22,13
3,15,13
3,12,13
3,13,13
3,16,13
3,16,13
3,22,13
3,22,57
3,22,51
3,22,52
3,22,44
3,22,41
3,17,41
3,17,41
3,23,6
3,11,6
3,3,6
3,9,6
3,2,6
3,2,6
4,10,53
4,7,53
4,8,53
4,8,53
4,20,22
4,20,22
4,4,22
5,10,53
5,7,53
5,7,53
5,18,22
5,8,22
5,8,22
5,20,22
5,20,22
5,20,22
5,5,43
6,10,53
6,7,53
6,8,53
6,8,53
6,20,22
6,20,22
6,20,33
6,20,33
6,4,53
7,10,53
7,7,53
7,7,53
7,18,22
7,8,22
7,8,22
7,20,39
7,20,50
7,20,50
7,4,50
8,10,53
8,7,53
8,8,53
8,8,53
8,20,53
8,20,22
8,1,22
8,15,22
8,6,22
8,13,22
8,16,22
8,16,22
8,22,23
8,22,19
8,17,19
8,17,19
8,23,3
8,5,3
8,14,3
9,10,53
9,7,53
9,8,53
9,8,53
9,20,53
9,1,14
9,6,14
9,15,14
9,13,14
9,16,14
9,16,14
9,22,14
9,22,14
9,15,14
9,12,14
9,13,14
9,16,14
9,16,14
9,22,14
9,22,14
9,22,36
9,22,41
9,17,41
9,17,41
9,23,7
9,23,7
9,21,7
9,21,7
9,21,47
9,21,47
9,21,47
9,21,23
9,21,23
9,21,23
9,21,23
9,21,18
9,21,36
9,21,36
9,23,32
9,23,32
9,21,32
9,21,32
9,21,41
9,21,46
9,21,46
9,21,46
9,23,32
9,11,32
9,3,32
9,9,32
9,2,32
10,10,53
10,7,53
10,8,53
10,8,53
10,20,30
10,1,30
10,15,30
10,6,30
10,13,30
10,16,30
10,16,30
10,22,30
10,22,30
10,22,30
10,22,30
10,17,40
10,17,40
10,23,6
10,23,6
10,21,22
10,21,22
10,21,22
10,21,38
10,14,38
10,5,38
11,10,53
11,7,53
11,7,53
11,18,22
11,18,30
11,8,30
11,8,30
11,20,22
11,20,22
11,20,34
11,20,34
11,20,55
11,5,55
12,10,53
12,7,53
12,8,53
12,8,53
12,20,22
12,20,57
12,20,57
12,20,57
12,1,57
12,15,57
12,6,57
12,13,57
12,16,57
12,16,57
12,22,57
12,22,23
12,22,23
12,22,23
12,22,15
12,22,50
12,22,50
12,22,50
12,17,40
12,17,40
12,23,10
12,23,10
12,21,10
12,21,10
12,21,47
12,21,47
12,21,47
12,23,32
12,23,32
12,21,48
12,21,48
12,21,48
12,23,32
12,23,32
12,21,48
12,21,32
12,21,41
12,21,41
12,23,32
12,23,10
12,23,32
12,11,32
12,2,32
12,9,32
12,3,32
13,10,53
13,7,53
13,8,53
13,8,53
13,20,39
13,20,57
13,20,57
13,1,57
13,6,57
13,15,57
13,13,57
13,16,57
13,16,57
13,22,33
13,15,33
13,12,33
13,13,33
13,16,33
13,16,33
13,22,19
13,17,19
13,17,19
13,23,3
13,23,3
13,21,3
13,21,3
13,21,3
13,21,48
13,15,48
13,12,48
13,13,48
13,16,48
13,16,48
13,21,48
13,21,48
13,17,40
13,17,40
13,23,10
13,11,10
13,3,10
13,9,10
13,2,10
14,10,53
14,7,53
14,8,53
14,8,53
14,20,34
14,20,34
14,20,34
14,1,34
14,15,34
14,6,34
14,13,34
14,16,34
14,16,34
14,22,34
14,22,34
14,22,34
14,17,40
14,17,40
14,23,6
14,23,7
14,23,7
14,21,30
14,21,39
14,21,39
14,21,39
14,21,34
14,21,34
14,21,34
14,23,7
14,11,7
14,9,7
14,3,7
14,2,7
15,10,53
15,7,53
15,7,53
15,18,30
15,8,30
15,8,30
15,20,30
15,20,50
15,20,55
15,20,48
15,20,49
15,20,47
15,20,50
15,20,50
15,20,50
15,20,50
