case,event,role
1,3,58
1,3,58
1,5,58
1,5,58
1,5,58
1,5,36
1,6,10
1,6,10
1,6,10
2,3,19
2,3,19
2,3,46
2,3,46
2,5,46
2,5,46
2,5,38
2,5,19
2,5,12
2,5,12
2,5,47
2,5,44
2,5,45
2,5,38
2,5,36
2,6,6
3,3,58
3,5,58
3,5,58
3,5,58
3,5,58
3,5,32
3,5,36
3,6,7
3,4,7
3,4,7
3,4,40
3,4,40
3,4,40
3,4,20
3,4,20
3,4,20
3,4,20
3,4,15
3,4,32
3,6,28
3,4,28
3,4,28
3,4,36
3,4,39
3,4,39
3,6,28
4,3,27
4,5,27
4,5,27
4,5,27
4,5,27
4,6,6
4,4,19
4,4,19
4,4,19
4,4,34
5,1,19
5,1,27
5,3,19
5,3,19
5,3,30
5,3,30
5,3,46
6,3,19
6,3,47
6,3,47
6,3,47
6,5,47
6,5,20
6,5,20
6,5,20
6,5,13
6,5,43
6,5,43
6,5,43
6,6,10
6,4,10
6,4,10
6,4,40
6,4,40
6,6,28
6,4,41
6,4,41
6,6,28
6,4,41
6,4,28
6,4,36
6,6,28
6,6,10
6,6,28
7,3,35
7,3,47
7,3,47
7,5,29
7,5,16
7,6,3
7,4,3
7,4,3
7,4,3
7,4,41
7,4,41
7,4,41
7,6,10
8,3,30
8,3,30
8,3,30
8,5,30
8,5,30
8,5,30
8,6,6
8,6,7
8,4,27
8,4,35
8,4,35
8,4,35
8,4,30
8,4,30
8,6,7
9,1,27
9,3,27
9,3,43
9,3,46
9,3,41
9,3,42
9,3,40
9,3,43
9,3,43
9,3,43
9,3,43
9,3,46
9,3,43
9,3,44
9,3,20
9,3,44
9,3,44
10,1,27
10,3,27
10,3,27
10,3,27
10,3,35
10,3,38
10,5,38
10,5,38
10,5,38
10,5,31
11,3,30
11,3,27
11,3,43
11,3,43
11,3,31
11,3,42
11,3,43
11,3,43
11,3,44
11,3,45
11,3,45
11,3,44
11,3,44
11,3,10
11,3,10
11,3,10
11,2,10
11,2,10
12,3,35
12,3,47
12,3,43
12,3,43
12,3,41
12,3,40
12,3,43
12,3,43
12,3,43
12,3,44
12,3,44
12,3,43
13,3,58
13,3,58
13,3,58
13,3,41
13,3,39
13,3,39
13,3,40
13,3,40
13,5,29
13,5,43
13,5,29
13,5,36
13,6,6
13,4,45
13,4,40
13,4,36
13,4,36
13,4,39
13,4,36
13,4,36
13,6,6
13,4,12
13,4,32
13,6,6
13,6,6
13,4,6
13,4,6
13,4,41
13,4,41
13,4,36
13,4,41
13,4,32
13,4,32
13,4,32
13,4,10
13,4,10
13,4,10
13,4,5
13,4,36
13,4,36
13,6,6
13,6,3
13,6,6
14,3,58
14,5,58
14,5,58
14,5,58
14,5,58
14,5,46
14,5,44
14,5,44
14,5,38
15,3,58
15,5,58
15,5,58
15,5,9
15,6,28
15,6,6
16,3,43
16,3,43
16,5,43
16,5,38
16,5,38
16,6,6
16,4,12
16,6,6
16,6,6
17,3,43
17,3,43
17,5,43
17,5,43
17,5,43
17,5,43
17,5,12
17,5,38
17,5,46
17,5,14
17,5,14
17,5,45
17,5,46
17,5,43
17,5,43
18,1,58
18,3,58
18,3,43
18,5,43
18,5,43
18,5,38
18,5,43
18,5,46
18,5,46
18,5,43
18,5,46
18,5,46
18,5,46
18,5,38
18,5,43
18,5,38
18,5,38
18,5,38
19,1,58
19,1,31
19,1,31
19,3,31
19,3,31
19,3,43
19,3,15
20,3,43
20,3,43
20,3,43
20,5,43
20,5,43
20,5,43
20,5,43
20,5,12
20,5,12
21,3,43
21,3,43
21,5,43
21,5,43
21,5,38
21,5,38
21,6,6
22,3,58
22,3,46
22,3,15
22,3,15
