case,event,role
1,15,13
1,21,13
1,18,13
1,19,13
1,20,13
1,22,13
1,23,13
1,24,13
1,25,13
1,28,13
1,33,13
1,37,13
1,41,13
1,42,13
1,43,13
1,58,13
1,229,13
1,231,13
1,234,13
1,261,13
1,37,13
1,41,13
1,42,13
1,43,13
1,58,13
1,59,13
1,63,13
1,67,13
1,68,13
1,69,13
1,265,13
1,77,13
1,79,13
1,86,13
1,103,13
1,104,13
2,15,12
2,29,12
2,18,12
2,19,12
2,22,12
2,23,12
2,24,12
2,25,12
2,28,12
2,232,13
2,33,13
2,37,13
2,41,13
2,42,13
2,43,13
2,58,13
2,229,13
2,231,13
3,15,11
3,21,11
3,18,11
3,19,11
3,20,11
3,22,11
3,23,9
3,24,9
3,25,9
3,29,1
3,33,1
3,28,1
3,33,1
3,37,1
3,41,1
3,42,1
3,43,1
3,44,1
3,47,1
3,58,1
3,59,1
3,63,1
3,67,1
3,68,1
3,69,1
3,70,1
3,73,1
3,265,1
3,77,1
3,79,1
3,86,1
3,103,1
3,104,1
3,168,1
3,181,1
3,105,1
3,107,1
3,108,8
3,115,8
4,15,12
4,21,12
4,29,12
4,33,12
4,18,12
4,19,12
4,20,12
4,22,12
4,25,12
4,159,12
4,160,12
4,163,12
4,28,12
4,181,12
4,33,12
4,37,12
4,42,12
4,23,12
4,168,12
4,41,12
4,44,12
4,54,12
4,95,12
4,100,12
4,108,12
4,119,12
4,128,12
4,283,12
4,53,12
4,58,12
4,59,12
4,69,12
4,63,12
4,67,12
4,265,12
4,77,12
4,78,12
4,79,12
4,87,12
4,89,12
4,90,12
4,96,12
4,97,12
4,102,12
4,270,12
4,271,12
4,276,12
4,280,12
4,282,12
4,288,12
4,103,12
4,104,12
4,105,12
4,107,12
4,115,12
4,118,12
4,127,12
4,4,12
4,13,12
4,139,12
4,272,12
5,15,9
5,21,9
5,29,9
5,18,9
5,19,9
5,20,9
5,22,9
5,25,9
5,28,9
5,33,14
5,37,14
5,42,1
5,33,1
5,48,1
5,168,1
5,41,1
5,44,1
5,47,1
5,58,1
5,59,1
5,69,1
5,63,1
5,67,1
5,265,1
5,77,1
5,78,1
5,79,1
5,86,1
5,103,1
5,104,1
5,181,1
5,108,11
5,119,11
5,23,11
5,105,11
5,107,11
5,115,11
5,118,11
6,15,11
6,33,1
6,21,11
6,29,1
6,18,11
6,19,11
6,20,11
6,186,7
6,232,1
6,22,1
6,23,1
6,24,1
6,25,1
6,159,1
6,160,1
6,163,1
6,28,1
6,33,1
6,37,1
6,41,1
6,42,1
6,43,1
6,58,1
6,229,1
6,231,1
6,235,7
6,205,7
6,181,7
6,185,7
6,187,7
6,197,7
6,234,7
6,198,7
6,199,7
6,206,7
6,108,11
6,119,11
6,168,11
6,37,11
6,207,11
6,41,11
6,42,11
6,43,11
6,58,11
6,59,11
6,63,11
6,67,11
6,68,11
6,69,11
6,265,11
6,77,11
6,79,11
6,86,11
6,103,11
6,104,11
6,105,11
6,107,11
6,115,11
6,118,11
6,127,11
7,15,11
7,21,11
7,18,11
7,19,11
7,20,11
7,33,7
7,29,7
7,22,7
7,23,7
7,24,7
7,25,7
7,28,7
7,33,7
7,37,7
7,168,7
7,181,7
7,41,7
7,42,7
7,43,7
7,58,7
7,59,7
7,63,7
7,67,7
7,68,7
7,69,7
7,265,7
7,77,7
7,79,7
7,86,7
7,103,7
7,104,7
7,105,7
7,107,7
7,108,8
7,115,8
8,15,11
8,29,9
8,21,11
8,18,11
8,19,11
8,20,11
8,33,9
8,22,9
8,23,9
8,24,9
8,25,9
8,28,9
8,33,9
8,37,9
8,181,9
8,168,9
8,41,9
8,42,9
8,43,9
8,58,9
8,59,9
8,63,9
8,67,9
8,68,9
8,69,9
8,265,9
8,77,9
8,79,9
8,86,9
8,103,9
8,104,9
8,105,9
8,108,8
8,119,8
8,107,8
8,115,8
8,118,8
9,15,8
9,21,8
9,18,8
9,19,8
9,20,8
9,22,8
9,33,7
9,232,7
9,29,7
9,235,7
9,23,7
9,24,7
9,25,7
9,28,7
9,33,7
9,37,7
9,41,7
9,42,7
9,168,7
9,43,7
9,58,7
9,229,7
9,231,7
9,234,7
9,261,7
9,181,1
9,108,1
9,37,1
9,41,1
9,42,1
9,43,1
9,58,1
9,59,1
9,63,1
9,67,1
9,68,1
9,69,1
9,265,1
9,77,1
9,79,1
9,86,1
9,103,1
9,104,1
9,105,1
9,107,1
9,119,8
9,115,8
9,118,8
10,15,11
10,18,11
10,19,11
10,20,13
10,22,13
10,23,13
10,24,13
10,25,13
10,159,13
10,160,13
10,163,13
10,28,13
10,33,13
10,37,13
10,41,13
10,42,13
10,43,13
10,58,13
10,59,13
10,63,13
10,67,13
10,68,13
10,69,13
10,265,13
10,77,13
10,79,13
10,86,13
10,103,13
10,104,13
10,168,12
10,181,12
10,105,12
10,107,12
10,115,12
10,118,12
10,127,12
10,108,12
10,119,12
10,128,12
10,1,12
10,13,12
10,139,12
11,15,1
11,21,1
11,33,1
11,29,1
11,186,1
11,232,1
11,235,1
11,48,1
11,48,1
11,18,1
11,19,1
11,20,1
11,22,1
11,25,1
11,159,1
11,160,1
11,163,1
11,28,1
11,181,1
11,185,1
11,187,1
11,197,1
