case,event,role
1,1,1
1,12,1
1,12,12
1,10,1
1,2,16
2,1,12
2,12,12
2,10,12
2,2,18
3,1,1
3,12,22
3,8,22
3,10,12
3,2,16
4,1,12
4,1,12
4,12,12
4,10,12
4,2,18
5,1,17
5,12,17
5,10,17
5,2,16
6,1,11
6,12,12
6,10,12
6,2,18
7,1,21
7,12,12
7,10,12
7,2,18
8,1,1
8,12,22
8,10,22
8,2,18
9,1,21
9,12,12
9,10,12
9,2,18
10,1,12
10,12,12
10,10,12
10,2,18
11,1,1
11,12,22
11,10,4
11,2,16
12,1,17
12,12,8
12,10,8
12,2,18
13,1,1
13,12,22
13,14,22
13,10,22
13,2,18
14,6,7
14,1,7
14,12,12
14,10,12
14,2,18
15,1,6
15,12,12
15,8,1
15,10,1
15,2,16
16,6,7
16,1,7
16,12,7
16,10,7
16,2,18
17,1,12
17,12,12
17,10,12
17,2,18
18,1,21
18,12,19
18,14,19
18,12,19
18,10,19
18,2,18
19,1,1
19,12,12
19,10,12
19,2,18
20,1,21
20,12,21
20,10,8
20,2,18
21,1,1
21,12,16
21,14,17
21,10,17
21,10,17
21,2,16
22,1,6
22,12,6
22,10,12
22,2,18
23,1,1
23,12,12
23,14,1
23,10,1
23,2,16
24,1,17
24,12,17
24,10,12
24,2,18
25,1,17
25,12,17
25,14,17
25,10,17
25,2,18
26,1,19
26,12,12
26,10,12
26,2,18
27,1,1
27,1,1
27,12,12
27,10,12
27,2,18
28,1,1
28,10,12
28,10,12
28,2,16
29,1,5
29,1,7
29,12,7
29,10,7
29,2,18
30,1,21
30,12,21
30,14,12
30,12,12
30,10,12
30,2,18
31,1,6
31,12,12
31,8,17
31,10,17
31,2,16
32,1,1
32,12,12
32,14,6
32,10,6
32,2,16
33,1,21
33,12,19
33,10,19
33,2,18
34,1,1
34,12,2
34,10,1
34,2,18
35,1,12
35,1,12
35,12,7
35,14,7
35,12,7
35,3,7
35,10,7
35,2,18
36,1,12
36,1,12
36,12,12
36,3,12
36,10,12
36,2,18
37,1,21
37,12,21
37,14,22
37,12,22
37,10,22
37,2,18
38,1,1
38,12,1
38,14,1
38,10,1
38,2,18
39,1,1
39,12,12
39,14,12
39,10,12
39,2,18
40,1,1
40,12,17
40,10,17
40,2,18
41,1,22
41,1,12
41,12,12
41,14,22
41,12,12
41,10,12
41,2,18
42,1,1
42,12,1
42,14,1
42,12,1
42,10,1
42,2,18
43,1,17
43,12,1
43,10,1
43,2,18
44,1,1
44,12,17
44,10,17
44,2,18
45,1,1
45,12,17
45,10,17
45,2,18
46,1,21
46,12,9
46,10,9
46,2,18
47,1,1
47,12,1
47,10,1
47,2,18
48,1,1
48,12,1
48,10,1
48,2,18
49,1,1
49,12,22
49,10,22
49,2,18
50,1,17
50,12,12
50,14,12
50,10,12
50,2,16
51,1,12
51,12,8
51,10,8
51,12,8
51,14,8
51,12,8
51,10,8
51,2,18
52,1,22
52,12,12
52,10,12
52,2,18
53,1,1
53,12,1
53,10,1
53,2,18
54,1,5
54,1,5
54,12,20
54,14,20
54,10,12
54,2,18
55,1,22
55,12,22
55,14,22
55,12,22
55,10,22
55,2,18
56,1,1
56,12,1
56,10,12
56,10,12
56,2,18
57,1,1
57,12,12
57,14,12
57,10,12
57,2,16
58,1,21
58,12,21
58,14,22
58,12,22
58,10,22
58,12,22
58,14,22
58,12,22
58,10,22
58,2,18
59,1,22
59,12,12
59,10,12
59,2,18
60,1,21
60,12,21
60,10,21
60,2,18
61,1,21
61,1,21
61,12,22
61,14,22
61,10,22
61,2,18
62,1,17
62,12,12
62,14,12
62,10,17
62,2,16
63,1,17
63,12,5
63,10,5
63,2,18
64,1,1
64,12,1
64,10,1
64,2,18
65,1,5
65,12,12
65,8,12
65,14,12
65,10,12
65,2,16
66,1,1
66,12,1
66,14,1
66,10,1
66,2,18
67,1,17
67,12,17
67,10,17
67,2,18
68,1,5
68,12,5
68,10,5
68,2,18
69,1,21
69,1,21
69,12,5
69,14,5
69,10,5
69,2,18
70,12,1
70,14,1
70,10,1
70,2,18
71,1,1
71,12,1
71,10,1
71,2,18
72,1,17
72,12,1
72,10,1
72,2,18
73,1,1
73,12,12
73,10,12
73,2,18
74,1,17
74,12,5
74,10,5
74,2,18
75,1,1
75,12,22
75,10,22
75,2,18
76,1,21
76,12,21
76,10,21
76,2,18
77,1,10
77,12,12
77,14,12
77,10,12
77,2,16
78,1,1
78,12,12
78,10,8
78,12,8
78,14,8
78,10,8
78,2,16
79,1,21
79,12,21
79,10,5
79,2,18
80,1,1
80,1,5
80,12,5
80,10,1
80,2,18
81,1,1
81,12,22
81,10,22
81,2,18
82,1,1
82,12,5
82,14,5
82,10,5
82,2,18
83,1,5
83,12,16
83,10,12
83,2,16
84,1,5
84,12,1
84,14,1
84,10,1
84,2,18
85,1,6
85,1,12
85,12,12
85,10,12
85,2,18
86,1,21
86,12,21
86,10,21
86,10,21
86,2,18
87,1,10
87,12,12
87,14,12
87,14,12
87,10,12
87,2,16
88,1,5
88,12,4
88,10,4
88,2,18
89,6,3
89,1,3
89,12,3
89,14,3
89,12,3
89,10,3
89,2,18
90,1,1
90,12,22
90,14,22
90,10,22
90,2,18
91,1,5
91,12,5
91,10,5
91,2,18
92,1,22
92,1,22
92,12,3
92,10,3
92,2,18
93,1,12
93,12,17
93,10,17
93,2,18
94,1,4
94,12,4
94,11,4
94,12,12
94,14,12
94,12,12
94,10,12
94,2,18
95,1,1
95,12,1
95,10,1
95,2,18
96,1,5
96,12,12
96,14,1
96,10,1
96,12,17
96,10,17
96,2,16
97,1,12
97,10,1
97,10,1
97,2,16
98,1,21
98,12,21
98,14,12
98,12,12
98,10,12
98,2,18
99,1,6
99,12,22
99,14,22
99,12,22
99,10,22
99,2,18
100,1,17
100,12,1
100,10,1
100,10,1
100,2,18
101,12,1
101,14,5
101,10,5
101,2,18
102,1,17
102,12,5
102,10,5
102,2,18
103,1,1
103,1,12
103,10,12
103,2,18
104,1,1
104,12,1
104,10,1
104,2,16
105,1,12
105,12,12
105,3,12
105,10,12
105,12,19
105,10,4
105,2,18
106,1,19
106,1,12
106,12,5
106,10,5
106,2,18
107,1,6
107,12,8
107,10,8
107,2,18
108,1,17
108,12,17
108,10,17
108,2,18
109,1,21
109,12,19
109,10,9
109,2,18
110,1,12
110,12,12
110,14,12
110,12,12
110,10,12
110,2,18
111,1,17
111,12,17
111,10,17
111,2,18
112,1,1
112,12,1
112,10,17
112,10,17
112,2,18
113,1,1
113,12,19
113,10,19
113,2,18
114,1,1
114,12,12
114,10,17
114,2,16
115,1,17
115,1,19
115,1,19
115,12,22
115,10,22
115,10,22
115,2,18
116,1,12
116,12,12
116,10,12
116,2,18
117,1,1
117,12,22
117,10,22
117,2,18
118,1,21
118,12,21
118,10,12
118,2,18
119,1,6
119,12,22
119,14,22
119,10,22
119,2,16
120,1,22
120,12,22
120,10,22
120,12,22
120,14,22
120,12,22
120,10,22
120,2,18
121,1,22
121,12,22
121,14,22
121,10,22
121,2,16
122,1,1
122,12,8
122,14,8
122,12,3
122,10,3
122,2,16
123,1,1
123,12,19
123,14,2
123,14,8
123,10,8
123,2,16
124,1,6
124,12,10
124,14,10
124,10,10
124,2,16
125,1,21
125,12,21
125,14,21
125,12,21
125,12,12
125,14,22
125,12,12
125,14,12
125,12,12
125,10,12
125,2,18
126,1,1
126,12,1
126,10,1
126,2,18
127,1,17
127,12,5
127,10,5
127,2,16
128,1,17
128,12,2
128,10,2
128,2,18
129,1,4
129,1,20
129,12,12
129,10,12
129,2,18
130,1,21
130,12,21
130,10,3
130,2,18
131,1,1
131,12,5
131,10,5
131,2,18
132,1,22
132,12,22
132,10,22
132,2,18
133,1,12
133,12,12
133,10,12
133,2,18
134,1,1
134,12,1
134,10,1
134,2,18
135,1,12
135,12,12
135,10,12
135,2,18
136,1,17
136,12,3
136,10,9
136,2,16
137,1,1
137,12,22
137,10,22
137,2,18
138,1,1
138,10,17
138,10,17
138,2,18
139,1,17
139,12,5
139,10,5
139,2,18
140,1,1
140,12,1
140,10,12
140,2,18
141,1,10
141,12,22
141,14,22
141,12,3
141,10,22
141,2,16
142,6,4
142,1,19
142,12,4
142,10,4
142,2,18
143,1,12
143,12,12
143,10,12
143,2,18
144,1,1
144,12,1
144,10,1
144,2,18
145,1,1
145,12,19
145,10,9
145,2,18
146,1,1
146,12,1
146,10,1
146,2,18
147,1,1
147,12,1
147,10,1
147,2,18
148,1,22
148,12,22
148,8,22
148,10,22
148,2,18
149,1,5
149,12,5
149,10,5
149,2,18
150,1,1
150,12,1
150,10,5
150,2,18
151,1,17
151,12,17
151,10,17
151,2,18
152,1,1
152,12,1
152,14,22
152,12,1
152,14,1
152,10,1
152,2,16
153,1,6
153,12,22
153,14,12
153,12,12
153,10,12
153,2,18
154,1,4
154,12,22
154,14,22
154,12,22
154,14,22
154,12,18
154,14,18
154,12,18
154,14,18
154,12,12
154,10,12
154,2,18
155,1,1
155,12,1
155,14,2
155,8,2
155,14,2
155,10,2
155,2,16
156,1,17
156,12,17
156,10,17
156,2,18
157,1,1
157,10,1
157,12,1
157,8,12
157,10,12
157,2,16
158,1,1
158,12,22
158,14,22
158,10,22
158,2,16
159,1,12
159,12,12
159,10,12
159,2,18
160,1,21
160,12,19
160,10,19
160,2,18
161,1,6
161,12,6
161,10,6
161,2,18
162,1,17
162,12,17
162,10,12
162,2,18
163,1,1
163,12,12
163,14,17
163,14,17
163,10,17
163,2,16
164,1,20
164,12,12
164,10,12
164,2,18
165,1,19
165,12,7
165,10,7
165,2,18
166,1,12
166,12,12
166,10,12
166,2,18
167,1,1
167,12,12
167,14,12
167,10,12
167,2,18
168,1,1
168,14,1
168,12,1
168,10,1
168,10,1
168,2,18
169,1,22
169,12,12
169,14,12
169,12,12
169,10,12
169,2,18
170,1,6
170,12,12
170,14,12
170,10,12
170,2,16
171,1,1
171,12,12
171,10,12
171,2,18
172,1,21
172,1,21
172,12,3
172,14,3
172,12,3
172,10,3
172,2,18
173,1,10
173,12,17
173,14,17
173,10,17
173,2,16
174,1,21
174,12,21
174,10,21
174,2,18
175,1,5
175,12,21
175,10,9
175,2,18
176,1,1
176,12,17
176,10,17
176,2,18
177,1,21
177,12,12
177,10,12
177,2,18
178,1,1
178,12,17
178,10,17
178,2,16
179,1,6
179,12,6
179,10,6
179,2,18
180,1,22
180,12,12
180,10,12
