,case,event,time:timestamp,Column_4,role,case:creator
0,Start,start,2011-11-28 02:27:59+01:00,Start,12,Fluxicon Disco
1,Start,complete,2011-11-28 02:27:59+01:00,Start,12,Fluxicon Disco
2,sleeping,start,2011-11-28 02:27:59+01:00,sleeping,12,Fluxicon Disco
3,sleeping,complete,2011-11-28 10:18:11+01:00,sleeping,12,Fluxicon Disco
4,washing,start,2011-11-28 10:21:44+01:00,washing,12,Fluxicon Disco
5,toilet,start,2011-11-28 10:23:02+01:00,toilet,12,Fluxicon Disco
6,washing,complete,2011-11-28 10:23:31+01:00,washing,12,Fluxicon Disco
7,toilet,complete,2011-11-28 10:23:36+01:00,toilet,12,Fluxicon Disco
8,shower,start,2011-11-28 10:25:44+01:00,shower,12,Fluxicon Disco
9,shower,complete,2011-11-28 10:32:06+01:00,shower,12,Fluxicon Disco
10,prepareBreakfast,start,2011-11-28 10:38:00+01:00,prepareBreakfast,12,Fluxicon Disco
11,prepareBreakfast,complete,2011-11-28 10:42:55+01:00,prepareBreakfast,12,Fluxicon Disco
12,eatingBreakfast,start,2011-11-28 10:43:00+01:00,eatingBreakfast,12,Fluxicon Disco
13,eatingBreakfast,complete,2011-11-28 10:49:00+01:00,eatingBreakfast,12,Fluxicon Disco
14,washing,start,2011-11-28 10:49:48+01:00,washing,12,Fluxicon Disco
15,washing,complete,2011-11-28 10:51:13+01:00,washing,12,Fluxicon Disco
16,watchingtv,start,2011-11-28 10:51:41+01:00,watchingtv,12,Fluxicon Disco
17,watchingtv,complete,2011-11-28 13:05:07+01:00,watchingtv,12,Fluxicon Disco
18,washing,start,2011-11-28 13:06:04+01:00,washing,12,Fluxicon Disco
19,washing,complete,2011-11-28 13:06:06+01:00,washing,12,Fluxicon Disco
20,toilet,start,2011-11-28 13:06:07+01:00,toilet,12,Fluxicon Disco
21,toilet,complete,2011-11-28 13:06:31+01:00,toilet,12,Fluxicon Disco
22,outdoors,start,2011-11-28 13:09:31+01:00,outdoors,12,Fluxicon Disco
23,outdoors,complete,2011-11-28 13:38:23+01:00,outdoors,12,Fluxicon Disco
24,watchingtv,start,2011-11-28 13:38:40+01:00,watchingtv,12,Fluxicon Disco
25,watchingtv,complete,2011-11-28 14:21:40+01:00,watchingtv,12,Fluxicon Disco
26,toilet,start,2011-11-28 14:26:38+01:00,toilet,12,Fluxicon Disco
27,toilet,complete,2011-11-28 14:27:07+01:00,toilet,12,Fluxicon Disco
28,prepareLunch,start,2011-11-28 14:31:06+01:00,prepareLunch,12,Fluxicon Disco
29,prepareLunch,complete,2011-11-28 14:41:54+01:00,prepareLunch,12,Fluxicon Disco
30,eatingLunch,start,2011-11-28 14:42:00+01:00,eatingLunch,12,Fluxicon Disco
31,eatingLunch,complete,2011-11-28 15:04:00+01:00,eatingLunch,12,Fluxicon Disco
32,washing,start,2011-11-28 15:04:59+01:00,washing,12,Fluxicon Disco
33,washing,complete,2011-11-28 15:06:29+01:00,washing,12,Fluxicon Disco
34,watchingtv,start,2011-11-28 15:07:01+01:00,watchingtv,12,Fluxicon Disco
35,watchingtv,complete,2011-11-28 20:19:27+01:00,watchingtv,12,Fluxicon Disco
36,snack,start,2011-11-28 20:20:55+01:00,snack,12,Fluxicon Disco
37,snack,complete,2011-11-28 20:20:59+01:00,snack,12,Fluxicon Disco
38,watchingtv,start,2011-11-28 20:21:15+01:00,watchingtv,12,Fluxicon Disco
39,watchingtv,complete,2011-11-29 02:06:51+01:00,watchingtv,12,Fluxicon Disco
40,End,start,2011-11-29 02:06:51+01:00,End,12,Fluxicon Disco
41,End,complete,2011-11-29 02:06:51+01:00,End,12,Fluxicon Disco
42,Start,start,2011-11-29 02:16:05+01:00,Start,22,Fluxicon Disco
43,Start,complete,2011-11-29 02:16:05+01:00,Start,22,Fluxicon Disco
44,sleeping,start,2011-11-29 02:16:05+01:00,sleeping,22,Fluxicon Disco
45,sleeping,complete,2011-11-29 11:31:04+01:00,sleeping,22,Fluxicon Disco
46,toilet,start,2011-11-29 11:37:16+01:00,toilet,22,Fluxicon Disco
47,toilet,complete,2011-11-29 11:37:27+01:00,toilet,22,Fluxicon Disco
48,washing,start,2011-11-29 11:37:38+01:00,washing,22,Fluxicon Disco
49,washing,complete,2011-11-29 11:48:29+01:00,washing,22,Fluxicon Disco
50,shower,start,2011-11-29 11:49:57+01:00,shower,22,Fluxicon Disco
51,shower,complete,2011-11-29 11:51:13+01:00,shower,22,Fluxicon Disco
52,prepareBreakfast,start,2011-11-29 12:09:09+01:00,prepareBreakfast,22,Fluxicon Disco
53,prepareBreakfast,complete,2011-11-29 12:10:37+01:00,prepareBreakfast,22,Fluxicon Disco
54,eatingBreakfast,start,2011-11-29 12:11:01+01:00,eatingBreakfast,22,Fluxicon Disco
55,eatingBreakfast,complete,2011-11-29 12:19:00+01:00,eatingBreakfast,22,Fluxicon Disco
56,washing,start,2011-11-29 12:19:24+01:00,washing,22,Fluxicon Disco
57,washing,complete,2011-11-29 12:21:58+01:00,washing,22,Fluxicon Disco
58,watchingtv,start,2011-11-29 12:22:38+01:00,watchingtv,22,Fluxicon Disco
59,watchingtv,complete,2011-11-29 13:25:15+01:00,watchingtv,22,Fluxicon Disco
60,snack,start,2011-11-29 13:25:29+01:00,snack,22,Fluxicon Disco
61,snack,complete,2011-11-29 13:25:32+01:00,snack,22,Fluxicon Disco
62,watchingtv,start,2011-11-29 13:25:38+01:00,watchingtv,22,Fluxicon Disco
63,watchingtv,complete,2011-11-29 15:12:26+01:00,watchingtv,22,Fluxicon Disco
64,toilet,start,2011-11-29 15:13:28+01:00,toilet,22,Fluxicon Disco
65,washing,start,2011-11-29 15:13:32+01:00,washing,22,Fluxicon Disco
66,washing,complete,2011-11-29 15:13:34+01:00,washing,22,Fluxicon Disco
67,toilet,complete,2011-11-29 15:13:57+01:00,toilet,22,Fluxicon Disco
68,prepareLunch,start,2011-11-29 15:15:14+01:00,prepareLunch,22,Fluxicon Disco
69,prepareLunch,complete,2011-11-29 15:22:57+01:00,prepareLunch,22,Fluxicon Disco
70,eatingLunch,start,2011-11-29 15:23:00+01:00,eatingLunch,22,Fluxicon Disco
71,eatingLunch,complete,2011-11-29 15:49:00+01:00,eatingLunch,22,Fluxicon Disco
72,washing,start,2011-11-29 15:49:51+01:00,washing,22,Fluxicon Disco
73,washing,complete,2011-11-29 15:50:54+01:00,washing,22,Fluxicon Disco
74,watchingtv,start,2011-11-29 15:52:04+01:00,watchingtv,22,Fluxicon Disco
75,watchingtv,complete,2011-11-29 16:17:58+01:00,watchingtv,22,Fluxicon Disco
76,toilet,start,2011-11-29 16:31:16+01:00,toilet,22,Fluxicon Disco
77,toilet,complete,2011-11-29 16:31:27+01:00,toilet,22,Fluxicon Disco
78,snack,start,2011-11-29 16:32:20+01:00,snack,22,Fluxicon Disco
79,snack,complete,2011-11-29 16:32:23+01:00,snack,22,Fluxicon Disco
80,watchingtv,start,2011-11-29 16:34:17+01:00,watchingtv,22,Fluxicon Disco
81,watchingtv,complete,2011-11-29 17:08:07+01:00,watchingtv,22,Fluxicon Disco
82,washing,start,2011-11-29 17:08:58+01:00,washing,22,Fluxicon Disco
83,washing,complete,2011-11-29 17:09:00+01:00,washing,22,Fluxicon Disco
84,toilet,start,2011-11-29 17:09:04+01:00,toilet,22,Fluxicon Disco
85,watchingtv,start,2011-11-29 17:09:09+01:00,watchingtv,22,Fluxicon Disco
86,toilet,complete,2011-11-29 17:09:29+01:00,toilet,22,Fluxicon Disco
87,watchingtv,complete,2011-11-29 18:57:22+01:00,watchingtv,22,Fluxicon Disco
88,outdoors,start,2011-11-29 19:02:15+01:00,outdoors,22,Fluxicon Disco
89,outdoors,complete,2011-11-29 20:23:38+01:00,outdoors,22,Fluxicon Disco
90,watchingtv,start,2011-11-29 20:28:08+01:00,watchingtv,22,Fluxicon Disco
91,watchingtv,complete,2011-11-30 01:19:47+01:00,watchingtv,22,Fluxicon Disco
92,End,start,2011-11-30 01:19:47+01:00,End,22,Fluxicon Disco
93,End,complete,2011-11-30 01:19:47+01:00,End,22,Fluxicon Disco
94,Start,start,2011-11-30 01:22:33+01:00,Start,32,Fluxicon Disco
95,Start,complete,2011-11-30 01:22:33+01:00,Start,32,Fluxicon Disco
96,sleeping,start,2011-11-30 01:22:33+01:00,sleeping,32,Fluxicon Disco
97,sleeping,complete,2011-11-30 10:07:31+01:00,sleeping,32,Fluxicon Disco
98,toilet,start,2011-11-30 10:14:07+01:00,toilet,32,Fluxicon Disco
99,toilet,complete,2011-11-30 10:14:34+01:00,toilet,32,Fluxicon Disco
100,shower,start,2011-11-30 10:14:45+01:00,shower,32,Fluxicon Disco
101,shower,complete,2011-11-30 10:18:33+01:00,shower,32,Fluxicon Disco
102,prepareBreakfast,start,2011-11-30 10:23:46+01:00,prepareBreakfast,32,Fluxicon Disco
103,prepareBreakfast,complete,2011-11-30 10:27:58+01:00,prepareBreakfast,32,Fluxicon Disco
104,eatingBreakfast,start,2011-11-30 10:28:46+01:00,eatingBreakfast,32,Fluxicon Disco
105,eatingBreakfast,complete,2011-11-30 10:38:58+01:00,eatingBreakfast,32,Fluxicon Disco
106,washing,start,2011-11-30 10:39:30+01:00,washing,32,Fluxicon Disco
107,washing,complete,2011-11-30 10:41:13+01:00,washing,32,Fluxicon Disco
108,watchingtv,start,2011-11-30 10:41:38+01:00,watchingtv,32,Fluxicon Disco
109,watchingtv,complete,2011-11-30 13:05:01+01:00,watchingtv,32,Fluxicon Disco
110,snack,start,2011-11-30 13:05:27+01:00,snack,32,Fluxicon Disco
111,snack,complete,2011-11-30 13:05:31+01:00,snack,32,Fluxicon Disco
112,watchingtv,start,2011-11-30 13:05:38+01:00,watchingtv,32,Fluxicon Disco
113,watchingtv,complete,2011-11-30 14:09:34+01:00,watchingtv,32,Fluxicon Disco
114,toilet,start,2011-11-30 14:11:16+01:00,toilet,32,Fluxicon Disco
115,washing,start,2011-11-30 14:11:22+01:00,washing,32,Fluxicon Disco
116,washing,complete,2011-11-30 14:11:24+01:00,washing,32,Fluxicon Disco
117,toilet,complete,2011-11-30 14:11:48+01:00,toilet,32,Fluxicon Disco
118,watchingtv,start,2011-11-30 14:13:45+01:00,watchingtv,32,Fluxicon Disco
119,watchingtv,complete,2011-11-30 14:34:09+01:00,watchingtv,32,Fluxicon Disco
120,prepareLunch,start,2011-11-30 14:39:42+01:00,prepareLunch,32,Fluxicon Disco
121,prepareLunch,complete,2011-11-30 14:55:24+01:00,prepareLunch,32,Fluxicon Disco
122,eatingLunch,start,2011-11-30 14:56:00+01:00,eatingLunch,32,Fluxicon Disco
123,eatingLunch,complete,2011-11-30 15:11:00+01:00,eatingLunch,32,Fluxicon Disco
124,watchingtv,start,2011-11-30 15:11:48+01:00,watchingtv,32,Fluxicon Disco
125,watchingtv,complete,2011-11-30 16:39:11+01:00,watchingtv,32,Fluxicon Disco
126,toilet,start,2011-11-30 16:40:00+01:00,toilet,32,Fluxicon Disco
127,washing,start,2011-11-30 16:40:04+01:00,washing,32,Fluxicon Disco
128,washing,complete,2011-11-30 16:40:09+01:00,washing,32,Fluxicon Disco
129,toilet,complete,2011-11-30 16:40:24+01:00,toilet,32,Fluxicon Disco
130,snack,start,2011-11-30 16:41:05+01:00,snack,32,Fluxicon Disco
131,snack,complete,2011-11-30 16:41:09+01:00,snack,32,Fluxicon Disco
132,watchingtv,start,2011-11-30 16:41:15+01:00,watchingtv,32,Fluxicon Disco
133,watchingtv,complete,2011-11-30 18:00:38+01:00,watchingtv,32,Fluxicon Disco
134,washing,start,2011-11-30 18:01:44+01:00,washing,32,Fluxicon Disco
135,toilet,start,2011-11-30 18:01:46+01:00,toilet,32,Fluxicon Disco
136,washing,complete,2011-11-30 18:01:47+01:00,washing,32,Fluxicon Disco
137,watchingtv,start,2011-11-30 18:01:54+01:00,watchingtv,32,Fluxicon Disco
138,toilet,complete,2011-11-30 18:02:11+01:00,toilet,32,Fluxicon Disco
139,watchingtv,complete,2011-11-30 18:43:20+01:00,watchingtv,32,Fluxicon Disco
140,toilet,start,2011-11-30 18:57:08+01:00,toilet,32,Fluxicon Disco
141,toilet,complete,2011-11-30 18:57:34+01:00,toilet,32,Fluxicon Disco
142,watchingtv,start,2011-11-30 18:57:39+01:00,watchingtv,32,Fluxicon Disco
143,watchingtv,complete,2011-11-30 19:37:10+01:00,watchingtv,32,Fluxicon Disco
144,toilet,start,2011-11-30 19:37:36+01:00,toilet,32,Fluxicon Disco
145,washing,start,2011-11-30 19:37:40+01:00,washing,32,Fluxicon Disco
146,washing,complete,2011-11-30 19:37:46+01:00,washing,32,Fluxicon Disco
147,toilet,complete,2011-11-30 19:38:01+01:00,toilet,32,Fluxicon Disco
148,outdoors,start,2011-11-30 19:46:44+01:00,outdoors,32,Fluxicon Disco
149,outdoors,complete,2011-11-30 20:13:18+01:00,outdoors,32,Fluxicon Disco
150,washing,start,2011-11-30 20:13:39+01:00,washing,32,Fluxicon Disco
151,washing,complete,2011-11-30 20:13:48+01:00,washing,32,Fluxicon Disco
152,watchingtv,start,2011-11-30 20:14:03+01:00,watchingtv,32,Fluxicon Disco
153,watchingtv,complete,2011-12-01 01:34:27+01:00,watchingtv,32,Fluxicon Disco
