,case,event,time:timestamp,watchingtv,role,case:creator
0,Start,start,2011-12-03 01:47:02+01:00,Start,62,Fluxicon Disco
1,Start,complete,2011-12-03 01:47:02+01:00,Start,62,Fluxicon Disco
2,sleeping,start,2011-12-03 01:47:02+01:00,sleeping,62,Fluxicon Disco
3,sleeping,complete,2011-12-03 11:56:20+01:00,sleeping,62,Fluxicon Disco
4,toilet,start,2011-12-03 11:59:15+01:00,toilet,62,Fluxicon Disco
5,washing,start,2011-12-03 11:59:42+01:00,washing,62,Fluxicon Disco
6,toilet,complete,2011-12-03 11:59:45+01:00,toilet,62,Fluxicon Disco
7,washing,complete,2011-12-03 12:01:34+01:00,washing,62,Fluxicon Disco
8,shower,start,2011-12-03 12:03:36+01:00,shower,62,Fluxicon Disco
9,shower,complete,2011-12-03 12:08:55+01:00,shower,62,Fluxicon Disco
10,prepareBreakfast,start,2011-12-03 12:10:35+01:00,prepareBreakfast,62,Fluxicon Disco
11,prepareBreakfast,complete,2011-12-03 12:13:58+01:00,prepareBreakfast,62,Fluxicon Disco
12,eatingBreakfast,start,2011-12-03 12:14:05+01:00,eatingBreakfast,62,Fluxicon Disco
13,watchingtv,start,2011-12-03 12:21:30+01:00,watchingtv,62,Fluxicon Disco
14,eatingBreakfast,complete,2011-12-03 12:21:55+01:00,eatingBreakfast,62,Fluxicon Disco
15,watchingtv,complete,2011-12-03 13:28:36+01:00,watchingtv,62,Fluxicon Disco
16,washing,start,2011-12-03 13:29:22+01:00,washing,62,Fluxicon Disco
17,washing,complete,2011-12-03 13:29:32+01:00,washing,62,Fluxicon Disco
18,watchingtv,start,2011-12-03 13:29:48+01:00,watchingtv,62,Fluxicon Disco
19,watchingtv,complete,2011-12-03 14:01:20+01:00,watchingtv,62,Fluxicon Disco
20,washing,start,2011-12-03 14:11:10+01:00,washing,62,Fluxicon Disco
21,washing,complete,2011-12-03 14:14:43+01:00,washing,62,Fluxicon Disco
22,outdoors,start,2011-12-03 14:18:11+01:00,outdoors,62,Fluxicon Disco
23,outdoors,complete,2011-12-03 17:48:37+01:00,outdoors,62,Fluxicon Disco
24,watchingtv,start,2011-12-03 17:50:14+01:00,watchingtv,62,Fluxicon Disco
